seed,condition,memory_id,isyn_score,hit_rate,false_alarm,dprime,accuracy
42,FULL,0,0.33029567962512374,0.025,0.01267605633802817,0.18946321339057892,0.012323943661971832
42,FULL,1,0.3017743774689734,0.025,0.0028169014084507044,0.4198043634513451,0.022183098591549297
42,FULL,2,0.29084030678495765,0.075,0.015492957746478873,0.5793944889020579,0.059507042253521124
42,FULL,3,0.2431259318254888,0.0,0.016901408450704224,-0.3979271561106974,-0.016901408450704224
1042,FULL,0,0.30898252269253135,0.05,0.008450704225352112,0.5320795831550171,0.04154929577464789
1042,FULL,1,0.2835584469139576,0.025,0.01267605633802817,0.18946321339057892,0.012323943661971832
1042,FULL,2,0.27539824531413615,0.025,0.008450704225352112,0.27494250479927285,0.01654929577464789
1042,FULL,3,0.22821369278244674,0.0,0.011267605633802818,-0.29810250180609277,-0.011267605633802818
2042,FULL,0,0.3069009445607662,0.0,0.011267605633802818,-0.29810250180609277,-0.011267605633802818
2042,FULL,1,0.2656474185641855,0.0,0.004225352112676056,-0.1353328357903636,-0.004225352112676056
2042,FULL,2,0.25094496202655137,0.05,0.005633802816901409,0.5988767159388235,0.044366197183098595
2042,FULL,3,0.2209233467001468,0.075,0.011267605633802818,0.6560415632360219,0.06373239436619718
3042,FULL,0,0.31739349430426955,0.075,0.014084507042253521,0.6036705044544552,0.060915492957746474
3042,FULL,1,0.2928595116827637,0.0,0.008450704225352112,-0.23949469628897013,-0.008450704225352112
3042,FULL,2,0.2811446220148355,0.025,0.007042253521126761,0.3071598544734462,0.01795774647887324
3042,FULL,3,0.2313343056011945,0.05,0.008450704225352112,0.5320795831550171,0.04154929577464789
4042,FULL,0,0.3307220551650971,0.05,0.014084507042253521,0.4211007188563278,0.03591549295774648
4042,FULL,1,0.2909137902315706,0.0,0.0028169014084507044,-0.09463283763689789,-0.0028169014084507044
4042,FULL,2,0.2795707278419286,0.0,0.008450704225352112,-0.23949469628897013,-0.008450704225352112
4042,FULL,3,0.24059451301582158,0.0,0.008450704225352112,-0.23949469628897013,-0.008450704225352112
5042,FULL,0,0.33695734944194555,0.0,0.011267605633802818,-0.29810250180609277,-0.011267605633802818
5042,FULL,1,0.3023785164114088,0.1,0.007042253521126761,0.8925424073894341,0.09295774647887324
5042,FULL,2,0.2798512652516365,0.125,0.015492957746478873,0.8485357417011865,0.10950704225352112
5042,FULL,3,0.25431939004920423,0.05,0.01267605633802817,0.4466002917463232,0.03732394366197184
6042,FULL,0,0.33917876426130533,0.0,0.009859154929577466,-0.2696813030897909,-0.009859154929577466
6042,FULL,1,0.31419125059619546,0.025,0.005633802816901409,0.34173963758307924,0.019366197183098594
6042,FULL,2,0.29363717092201114,0.075,0.011267605633802818,0.6560415632360219,0.06373239436619718
6042,FULL,3,0.24787676613777876,0.0,0.005633802816901409,-0.17269756350516374,-0.005633802816901409
7042,FULL,0,0.30541494977660477,0.075,0.008450704225352112,0.7146493687531446,0.06654929577464788
7042,FULL,1,0.2836239382158965,0.05,0.009859154929577466,0.5018929763541964,0.04014084507042254
7042,FULL,2,0.26140659488737583,0.025,0.008450704225352112,0.27494250479927285,0.01654929577464789
7042,FULL,3,0.22408384690061212,0.025,0.0028169014084507044,0.4198043634513451,0.022183098591549297
8042,FULL,0,0.32675514719448984,0.025,0.005633802816901409,0.34173963758307924,0.019366197183098594
8042,FULL,1,0.28571400651708245,0.025,0.016901408450704224,0.11651004497754558,0.008098591549295778
8042,FULL,2,0.2781404769048095,0.05,0.01267605633802817,0.4466002917463232,0.03732394366197184
8042,FULL,3,0.23187849298119545,0.05,0.014084507042253521,0.4211007188563278,0.03591549295774648
9042,FULL,0,0.3171463795006275,0.05,0.005633802816901409,0.5988767159388235,0.044366197183098595
9042,FULL,1,0.296137428143993,0.05,0.004225352112676056,0.6362414436536237,0.045774647887323945
9042,FULL,2,0.2706913270521909,0.05,0.007042253521126761,0.5642969328291905,0.042957746478873245
9042,FULL,3,0.2374104280024767,0.025,0.011267605633802818,0.2163346992821502,0.013732394366197184
42,NO_REPLAY,0,0.047464099479839206,0.05,0.009859154929577466,0.5018929763541964,0.04014084507042254
42,NO_REPLAY,1,0.044813329237513244,0.05,0.009859154929577466,0.5018929763541964,0.04014084507042254
42,NO_REPLAY,2,0.043500576983205974,0.025,0.01971830985915493,0.07303909696699651,0.00528169014084507
42,NO_REPLAY,3,0.04094693355727941,0.075,0.01267605633802817,0.6291700773444506,0.06232394366197183
1042,NO_REPLAY,0,0.03361601405777037,0.05,0.009859154929577466,0.5018929763541964,0.04014084507042254
1042,NO_REPLAY,1,0.03927250183187425,0.025,0.009859154929577466,0.2447558979984521,0.015140845070422536
1042,NO_REPLAY,2,0.03513226960785687,0.05,0.004225352112676056,0.6362414436536237,0.045774647887323945
1042,NO_REPLAY,3,0.033766721840947866,0.025,0.005633802816901409,0.34173963758307924,0.019366197183098594
2042,NO_REPLAY,0,0.034478102112188935,0.075,0.009859154929577466,0.6844627619523238,0.06514084507042253
2042,NO_REPLAY,1,0.031150337192229927,0.0,0.008450704225352112,-0.23949469628897013,-0.008450704225352112
2042,NO_REPLAY,2,0.0398465656908229,0.0,0.009859154929577466,-0.2696813030897909,-0.009859154929577466
2042,NO_REPLAY,3,0.03430051531177014,0.05,0.007042253521126761,0.5642969328291905,0.042957746478873245
3042,NO_REPLAY,0,0.038706247229129076,0.0,0.011267605633802818,-0.29810250180609277,-0.011267605633802818
3042,NO_REPLAY,1,0.0341259294655174,0.075,0.007042253521126761,0.7468667184273179,0.06795774647887323
3042,NO_REPLAY,2,0.038828214164823294,0.075,0.008450704225352112,0.7146493687531446,0.06654929577464788
3042,NO_REPLAY,3,0.03479062207043171,0.025,0.005633802816901409,0.34173963758307924,0.019366197183098594
4042,NO_REPLAY,0,0.040458258241415024,0.05,0.008450704225352112,0.5320795831550171,0.04154929577464789
4042,NO_REPLAY,1,0.033620494650676847,0.025,0.009859154929577466,0.2447558979984521,0.015140845070422536
4042,NO_REPLAY,2,0.043335926719009876,0.0,0.011267605633802818,-0.29810250180609277,-0.011267605633802818
4042,NO_REPLAY,3,0.040586039423942566,0.075,0.008450704225352112,0.7146493687531446,0.06654929577464788
5042,NO_REPLAY,0,0.037216329015791416,0.025,0.014084507042253521,0.16396364050058354,0.01091549295774648
5042,NO_REPLAY,1,0.0364703054074198,0.05,0.011267605633802818,0.4734717776378945,0.03873239436619719
5042,NO_REPLAY,2,0.04027985129505396,0.025,0.004225352112676056,0.3791043652978794,0.020774647887323944
5042,NO_REPLAY,3,0.036815935745835304,0.0,0.011267605633802818,-0.29810250180609277,-0.011267605633802818
6042,NO_REPLAY,0,0.035740737803280354,0.05,0.008450704225352112,0.5320795831550171,0.04154929577464789
6042,NO_REPLAY,1,0.03473114129155874,0.025,0.011267605633802818,0.2163346992821502,0.013732394366197184
6042,NO_REPLAY,2,0.03747438592836261,0.05,0.009859154929577466,0.5018929763541964,0.04014084507042254
6042,NO_REPLAY,3,0.0328817127738148,0.025,0.009859154929577466,0.2447558979984521,0.015140845070422536
7042,NO_REPLAY,0,0.035192816285416484,0.025,0.009859154929577466,0.2447558979984521,0.015140845070422536
7042,NO_REPLAY,1,0.03754704853054136,0.05,0.005633802816901409,0.5988767159388235,0.044366197183098595
7042,NO_REPLAY,2,0.04005734925158322,0.025,0.008450704225352112,0.27494250479927285,0.01654929577464789
7042,NO_REPLAY,3,0.03643041558098048,0.025,0.01267605633802817,0.18946321339057892,0.012323943661971832
8042,NO_REPLAY,0,0.04333516373299062,0.025,0.007042253521126761,0.3071598544734462,0.01795774647887324
8042,NO_REPLAY,1,0.037009457824751735,0.05,0.016901408450704224,0.37364712333328987,0.03309859154929578
8042,NO_REPLAY,2,0.04282289103139192,0.05,0.005633802816901409,0.5988767159388235,0.044366197183098595
8042,NO_REPLAY,3,0.03581110865343362,0.05,0.011267605633802818,0.4734717776378945,0.03873239436619719
9042,NO_REPLAY,0,0.028452093829400837,0.05,0.005633802816901409,0.5988767159388235,0.044366197183098595
9042,NO_REPLAY,1,0.0330962537555024,0.05,0.011267605633802818,0.4734717776378945,0.03873239436619719
9042,NO_REPLAY,2,0.03667551791295409,0.025,0.004225352112676056,0.3791043652978794,0.020774647887323944
9042,NO_REPLAY,3,0.03543049260042608,0.0,0.01267605633802817,-0.32497398769766406,-0.01267605633802817
