seed,experiment,condition,memory,memory_idx,isyn_score,recall_accuracy,recall_std,binary_recall
42,Task2,FULL,M0,0,0.3270338452421129,0.023904569447040558,0.047809138894081116,0.0
42,Task2,FULL,M1,1,0.3011075546965003,0.0031559372553601863,0.005697589106914229,0.0
42,Task2,FULL,M2,2,0.2914891648106277,0.01788806766271591,0.03577613532543182,0.0
42,Task2,FULL,M3,3,0.24094729032367468,0.0,0.0,0.0
1042,Task2,FULL,M0,0,0.3228158613201231,0.0,0.0,0.0
1042,Task2,FULL,M1,1,0.29664898104965687,0.007016277313232422,0.014032554626464844,0.0
1042,Task2,FULL,M2,2,0.27161489916034043,0.0239872045814991,0.01402035041202805,0.0
1042,Task2,FULL,M3,3,0.2381644193083048,0.02706804797053337,0.03748749661136556,0.0
2042,Task2,FULL,M0,0,0.3558071246370673,0.0,0.0,0.0
2042,Task2,FULL,M1,1,0.3105349326506257,0.0071595247834920885,0.008771515962619898,0.0
2042,Task2,FULL,M2,2,0.30312464805319905,0.005393454805016518,0.010786909610033035,0.0
2042,Task2,FULL,M3,3,0.2543176137842238,0.00021081664599478244,0.0004216332919895649,0.0
3042,Task2,FULL,M0,0,0.3313290874939412,0.0,0.0,0.0
3042,Task2,FULL,M1,1,0.29896545386873186,0.015813709422945976,0.023294629173102818,0.0
3042,Task2,FULL,M2,2,0.2796810371801257,0.0,0.0,0.0
3042,Task2,FULL,M3,3,0.2367026312276721,0.008643405721522867,0.01676474585147737,0.0
4042,Task2,FULL,M0,0,0.3522551904898137,0.0,0.0,0.0
4042,Task2,FULL,M1,1,0.29479784960858524,0.008100479177664965,0.01573382862890673,0.0
4042,Task2,FULL,M2,2,0.29404599126428366,0.012318509351462125,0.0238482018788557,0.0
4042,Task2,FULL,M3,3,0.25489079928956926,0.005962742492556572,0.011925484985113144,0.0
5042,Task2,FULL,M0,0,0.3406229380052537,0.02309400886297226,0.04618801772594452,0.0
5042,Task2,FULL,M1,1,0.2879667989909649,0.0,0.0,0.0
5042,Task2,FULL,M2,2,0.28021930530667305,0.0,0.0,0.0
5042,Task2,FULL,M3,3,0.24452019552700222,0.0,0.0,0.0
6042,Task2,FULL,M0,0,0.336135113844648,0.02828427255153656,0.05656854510307311,0.0
6042,Task2,FULL,M1,1,0.29285020288079977,0.0,0.0,0.0
6042,Task2,FULL,M2,2,0.3152467072941363,0.004780872166156769,0.009561744332313538,0.0
6042,Task2,FULL,M3,3,0.24987348355352879,0.0,0.0,0.0
7042,Task2,FULL,M0,0,0.3548824661411345,0.0,0.0,0.0
7042,Task2,FULL,M1,1,0.3098733751103282,0.012838617339730263,0.017634609819697448,0.0
7042,Task2,FULL,M2,2,0.2946653622202575,0.014524179697036742,0.020563299490758188,0.0
7042,Task2,FULL,M3,3,0.2612126851454377,0.0,0.0,0.0
8042,Task2,FULL,M0,0,0.3236997979693115,0.0,0.0,0.0
8042,Task2,FULL,M1,1,0.2861101529560983,0.00021081476006656885,0.0004216295201331377,0.0
8042,Task2,FULL,M2,2,0.2621012288145721,0.0029561706352978943,0.0051526417519427254,0.0
8042,Task2,FULL,M3,3,0.23008735291659832,0.003605767106637359,0.006662441427959153,0.0
9042,Task2,FULL,M0,0,0.2906664269976318,0.0,0.0,0.0
9042,Task2,FULL,M1,1,0.2713176812976599,0.007627565413713455,0.01525513082742691,0.0
9042,Task2,FULL,M2,2,0.2609957542736083,0.025560158491134643,0.051120316982269286,0.0
9042,Task2,FULL,M3,3,0.21968711982481182,0.014508894644677639,0.022159564370897288,0.0
42,Task2,NO_REPLAY,M0,0,0.04797519906423986,0.0,0.0,0.0
42,Task2,NO_REPLAY,M1,1,0.045883076381869614,0.0,0.0,0.0
42,Task2,NO_REPLAY,M2,2,0.04495135333854705,0.0,0.0,0.0
42,Task2,NO_REPLAY,M3,3,0.04212463996373117,0.0,0.0,0.0
1042,Task2,NO_REPLAY,M0,0,0.032706727273762226,0.0,0.0,0.0
1042,Task2,NO_REPLAY,M1,1,0.039491415489465,0.0,0.0,0.0
1042,Task2,NO_REPLAY,M2,2,0.033216991228982806,0.0,0.0,0.0
1042,Task2,NO_REPLAY,M3,3,0.033335080835968256,0.0,0.0,0.0
2042,Task2,NO_REPLAY,M0,0,0.03460603428538889,0.0,0.0,0.0
2042,Task2,NO_REPLAY,M1,1,0.03210095677059144,0.0,0.0,0.0
2042,Task2,NO_REPLAY,M2,2,0.0394175227265805,0.028867512941360474,0.05773502588272095,0.0
2042,Task2,NO_REPLAY,M3,3,0.033684199093841016,0.0,0.0,0.0
3042,Task2,NO_REPLAY,M0,0,0.037767235888168216,0.0,0.0,0.0
3042,Task2,NO_REPLAY,M1,1,0.03404268785379827,0.0,0.0,0.0
3042,Task2,NO_REPLAY,M2,2,0.03808347228914499,0.0,0.0,0.0
3042,Task2,NO_REPLAY,M3,3,0.034141540294513106,0.0,0.0,0.0
4042,Task2,NO_REPLAY,M0,0,0.0407474294770509,0.0,0.0,0.0
4042,Task2,NO_REPLAY,M1,1,0.03338891756720841,0.0,0.0,0.0
4042,Task2,NO_REPLAY,M2,2,0.044057546416297555,0.0,0.0,0.0
4042,Task2,NO_REPLAY,M3,3,0.03881761874072254,0.0,0.0,0.0
5042,Task2,NO_REPLAY,M0,0,0.037149656331166625,0.0,0.0,0.0
5042,Task2,NO_REPLAY,M1,1,0.03573247231543064,0.0,0.0,0.0
5042,Task2,NO_REPLAY,M2,2,0.03965138574130833,0.0,0.0,0.0
5042,Task2,NO_REPLAY,M3,3,0.036227315897122025,0.0,0.0,0.0
6042,Task2,NO_REPLAY,M0,0,0.03727896325290203,0.0,0.0,0.0
6042,Task2,NO_REPLAY,M1,1,0.0358656351454556,0.07500000596046448,0.150000011920929,0.0
6042,Task2,NO_REPLAY,M2,2,0.03863967233337462,0.0,0.0,0.0
6042,Task2,NO_REPLAY,M3,3,0.03450405574403703,0.0,0.0,0.0
7042,Task2,NO_REPLAY,M0,0,0.035633641527965665,0.0,0.0,0.0
7042,Task2,NO_REPLAY,M1,1,0.037664364790543914,0.03202563226222992,0.06405126452445983,0.0
7042,Task2,NO_REPLAY,M2,2,0.04111440107226372,0.0,0.0,0.0
7042,Task2,NO_REPLAY,M3,3,0.03705408261157572,0.0,0.0,0.0
8042,Task2,NO_REPLAY,M0,0,0.04289991327095777,0.0,0.0,0.0
8042,Task2,NO_REPLAY,M1,1,0.03590744303073734,0.0,0.0,0.0
8042,Task2,NO_REPLAY,M2,2,0.04135665646754205,0.06169349849224091,0.050701583066279615,0.0
8042,Task2,NO_REPLAY,M3,3,0.035218688542954624,0.0,0.0,0.0
9042,Task2,NO_REPLAY,M0,0,0.027560643502511084,0.0,0.0,0.0
9042,Task2,NO_REPLAY,M1,1,0.031927566742524505,0.0,0.0,0.0
9042,Task2,NO_REPLAY,M2,2,0.035179792903363705,0.0,0.0,0.0
9042,Task2,NO_REPLAY,M3,3,0.03280707646626979,0.0,0.0,0.0
42,E2_natural,NATURAL,M0,0,0.32902097795158625,0.023904569447040558,0.047809138894081116,0.0
42,E2_natural,NATURAL,M1,1,0.3148890030570328,0.000254243123345077,0.000508486246690154,0.0
42,E2_natural,NATURAL,M2,2,0.293302756967023,0.01788806766271591,0.03577613532543182,0.0
42,E2_natural,NATURAL,M3,3,0.2447616176214069,0.0,0.0,0.0
1042,E2_natural,NATURAL,M0,0,0.3363392874598503,0.0,0.0,0.0
1042,E2_natural,NATURAL,M1,1,0.29577847267501056,0.009486495703458785,0.01897299140691757,0.0
1042,E2_natural,NATURAL,M2,2,0.2605969968717545,0.014334813877940177,0.021251651108933806,0.0
1042,E2_natural,NATURAL,M3,3,0.2370670116506517,0.024096481502056122,0.03935785020858848,0.0
2042,E2_natural,NATURAL,M0,0,0.3354864944703877,0.0,0.0,0.0
2042,E2_natural,NATURAL,M1,1,0.29880335996858776,0.022794608538970352,0.03688174186627382,0.0
2042,E2_natural,NATURAL,M2,2,0.28599791578017175,0.0036966624669730664,0.006931561016986912,0.0
2042,E2_natural,NATURAL,M3,3,0.24244345957413316,0.0,0.0,0.0
3042,E2_natural,NATURAL,M0,0,0.343429007101804,0.0,0.0,0.0
3042,E2_natural,NATURAL,M1,1,0.3143871813081205,0.013160409033298492,0.017767251002523743,0.0
3042,E2_natural,NATURAL,M2,2,0.2866788317915052,0.0,0.0,0.0
3042,E2_natural,NATURAL,M3,3,0.24962147837504745,0.004472016915678978,0.008944033831357955,0.0
4042,E2_natural,NATURAL,M0,0,0.3505697080399841,0.0,0.0,0.0
4042,E2_natural,NATURAL,M1,1,0.2941927155479789,0.008100479177664965,0.01573382862890673,0.0
4042,E2_natural,NATURAL,M2,2,0.29285435983911157,0.012318509351462125,0.0238482018788557,0.0
4042,E2_natural,NATURAL,M3,3,0.25447783269919455,0.0030677782371640204,0.006135556474328041,0.0
5042,E2_natural,NATURAL,M0,0,0.3533648040611297,0.0,0.0,0.0
5042,E2_natural,NATURAL,M1,1,0.2953935647383332,0.0,0.0,0.0
5042,E2_natural,NATURAL,M2,2,0.29056662204675376,0.016021779365837575,0.03151917040945258,0.0
5042,E2_natural,NATURAL,M3,3,0.2496917813550681,0.02147463858127594,0.04294927716255188,0.0
6042,E2_natural,NATURAL,M0,0,0.32735477038659155,0.0,0.0,0.0
6042,E2_natural,NATURAL,M1,1,0.2824864371214062,0.012648436427116393,0.025296872854232787,0.0
6042,E2_natural,NATURAL,M2,2,0.25392805645242333,0.009184345230460167,0.011883084370758412,0.0
6042,E2_natural,NATURAL,M3,3,0.23227613046765327,0.015705087035894395,0.019541958685101717,0.0
7042,E2_natural,NATURAL,M0,0,0.3120748435612768,0.0,0.0,0.0
7042,E2_natural,NATURAL,M1,1,0.2945323814637959,0.016210386343300343,0.031896353097431294,0.0
7042,E2_natural,NATURAL,M2,2,0.27786478283815086,0.014258878584951163,0.012880270672867908,0.0
7042,E2_natural,NATURAL,M3,3,0.23921565082855523,0.026682040095329283,0.032751859039637087,0.0
8042,E2_natural,NATURAL,M0,0,0.3484701740089804,0.04714045524597168,0.09428091049194336,0.0
8042,E2_natural,NATURAL,M1,1,0.3131577931344509,0.0,0.0,0.0
8042,E2_natural,NATURAL,M2,2,0.29884216096252203,0.016924189031124116,0.02598189846923568,0.0
8042,E2_natural,NATURAL,M3,3,0.2513308795168996,0.02629232071340084,0.04330811917174198,0.0
9042,E2_natural,NATURAL,M0,0,0.30240302183665335,0.0,0.0,0.0
9042,E2_natural,NATURAL,M1,1,0.2810711953788996,0.0,0.0,0.0
9042,E2_natural,NATURAL,M2,2,0.2757459641434252,0.028065606951713562,0.056131213903427124,0.0
9042,E2_natural,NATURAL,M3,3,0.22896891622804105,0.0,0.0,0.0
